day_of_outbreak,date,reported_incidence,incidence_mean,incidence_lower,incidence_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob
159,2017-12-02,0.0,0.0024375,0.0,0.0,0.6373682514470081,0.12373368930518666,1.9291182454300713,0.04050109729011815
160,2017-12-03,0.0,0.000875,0.0,0.0,0.6505068648199422,0.12222043007304854,1.9900847933755164,0.03558783326561992
161,2017-12-04,0.0,0.0028125,0.0,0.0,0.6632693148537189,0.12512261365401972,2.0428120799451914,0.03065257568847405
162,2017-12-05,0.0,0.0015,0.0,0.0,0.6773240982728064,0.12961126258575814,2.111896644887147,0.02695945175122706
163,2017-12-06,0.0,0.0005,0.0,0.0,0.6887850998025175,0.1286362900752048,2.1331826476058544,0.02349458984951038
164,2017-12-07,0.0,6.25e-05,0.0,0.0,0.7024602159236041,0.12797934923413967,2.2111412272520616,0.020321414883758823
165,2017-12-08,0.0,0.0004375,0.0,0.0,0.7156470222906941,0.12793102088111405,2.2305464548372296,0.017413150827770466
166,2017-12-09,0.0,0.0,0.0,0.0,0.7298568724394431,0.1291780741234189,2.2788615100399316,0.015022906935931413
167,2017-12-10,0.0,0.0005,0.0,0.0,0.7434109190525889,0.12891410196623723,2.3187439936609495,0.012824789094727312
168,2017-12-11,0.0,6.25e-05,0.0,0.0,0.7561773159576376,0.13208925535592772,2.3742492157117603,0.011042835400266935
169,2017-12-12,0.0,0.000125,0.0,0.0,0.7706431683324575,0.1325033033843291,2.4978410976027723,0.009419612253325887
170,2017-12-13,0.0,0.00025,0.0,0.0,0.7845373655836119,0.13529284713962375,2.555509461963108,0.00804050702789032
171,2017-12-14,0.0,0.0009375,0.0,0.0,0.7972967917660303,0.13604850700294122,2.6237943455231685,0.0068808086654565505
172,2017-12-15,0.0,0.0,0.0,0.0,0.809091074709849,0.13648090458963402,2.674315200658009,0.0061265590307709415
173,2017-12-16,0.0,0.0,0.0,0.0,0.8218295435346017,0.138962412657898,2.7487453553842283,0.0051896382332838374
174,2017-12-17,0.0,6.25e-05,0.0,0.0,0.8316202050798326,0.13827151476339739,2.7964971389518163,0.004379439336062166
175,2017-12-18,0.0,0.000125,0.0,0.0,0.8420941420113841,0.14002412114429363,2.8357539618282437,0.0037112234741590085
176,2017-12-19,0.0,0.0,0.0,0.0,0.854637516756346,0.1390401049218875,2.878960237297626,0.0031729109012811883
177,2017-12-20,0.0,0.0,0.0,0.0,0.8664199676401416,0.13846301411808898,2.927106311924434,0.0026810473397104726
178,2017-12-21,0.0,0.0,0.0,0.0,0.8773021555560512,0.13966239346991585,2.976378963283127,0.00226989288725619
