date,temperature,temperature_smoothed,suitability,suitability_smoothed
2021-11-18,13.4,12.253523936233451,2.2457159669633153e-09,4.1745824862389636e-12
2021-11-19,12.5,12.12091482376461,7.95280050144242e-12,2.141824700134148e-12
2021-11-20,11.9,11.990397731390644,2.3395806659970325e-13,2.831072727600181e-13
2021-11-21,11.8,11.862000910494741,1.7958811128752616e-13,2.132979786166595e-13
2021-11-22,13.7,11.73575107165749,1.503803434939707e-08,1.446559976591499e-13
2021-11-23,13.1,11.611673390107555,6.847587458866646e-10,7.719501764806489e-14
2021-11-24,13.1,11.489791512693618,6.847587458866646e-10,1.6149041277410225e-14
2021-11-25,13.6,11.370127566355078,8.902034695026299e-09,1.229010925218068e-14
2021-11-26,11.2,11.252702168074094,6.8038225779583796e-15,8.503366094639617e-15
2021-11-27,12.5,11.137534436283195,7.95280050144242e-12,4.789428337450536e-15
2021-11-28,11.0,11.02464200370711,3.542073959347226e-16,1.1488646020590035e-15
2021-11-29,7.0,10.914041031611374,0.0,2.933127912343819e-16
2021-11-30,5.2,10.80574622543159,0.0,2.1659514865398887e-16
2021-12-01,10.2,10.699770851753026,0.0,1.4152062636620194e-16
2021-12-02,12.1,10.59612675661262,1.821222517817983e-12,6.809761627881372e-17
2021-12-03,10.1,10.494824385088894,0.0,0.0
2021-12-04,8.4,10.3958728021495,0.0,0.0
2021-12-05,11.9,10.299279714719027,2.3395806659970325e-13,0.0
2021-12-06,6.4,10.205051494934047,0.0,0.0
2021-12-07,5.4,10.113193204545972,0.0,0.0
2021-12-08,9.4,10.023708620434569,0.0,0.0
2021-12-09,9.2,9.93660026119269,0.0,0.0
2021-12-10,6.4,9.851869414740927,0.0,0.0
2021-12-11,7.3,9.769516166931192,0.0,0.0
2021-12-12,7.6,9.689539431095303,0.0,0.0
2021-12-13,6.6,9.6119369784966,0.0,0.0
2021-12-14,9.2,9.536705469637818,0.0,0.0
2021-12-15,8.6,9.463840486381793,0.0,0.0
2021-12-16,7.8,9.393336564836629,0.0,0.0
2021-12-17,7.9,9.325187228960123,0.0,0.0
