date,temperature,temperature_smoothed,temperature_rolling,suitability,suitability_smoothed,suitability_rolling_temp
2017-09-05,21.7,24.111540475527875,24.485714285714288,0.30531068861129895,0.8452039331065752,0.9140610673985607
2017-09-06,22.6,23.986454846887234,24.392857142857142,0.4972832861426748,0.8216529607027027,0.8969730815972586
2017-09-07,22.6,23.8586821467117,24.228571428571428,0.4972832861426748,0.7931197729285894,0.8667404913334171
2017-09-08,21.5,23.728283767181598,23.97142857142857,0.2668040353237313,0.7640002392295986,0.818297411836485
2017-09-09,20.9,23.595322424533673,23.607142857142858,0.17484413728504536,0.7343083648991704,0.7369480103222206
2017-09-10,21.0,23.459862111943558,23.178571428571427,0.18730455793948514,0.703358352086983,0.6356364488515823
2017-09-11,19.5,23.321968051416665,22.55,0.04659877798798499,0.6701597828638974,0.4853631176726457
2017-09-12,20.1,23.18170664473605,21.985714285714288,0.08806124434287867,0.6363912651973542,0.3603201933078249
2017-09-13,19.8,23.039145423517677,21.521428571428572,0.06593507625225989,0.6020690576050793,0.2709297481759709
2017-09-14,20.2,22.894352998422743,21.12857142857143,0.0972965469239806,0.5674580327598194,0.20774728069543436
2017-09-15,21.8,22.747399007579308,20.921428571428574,0.32456401525508316,0.5324237061958828,0.17751422742528294
2017-09-16,23.1,22.598354064265198,20.99285714285714,0.6167200502741652,0.49689088951768084,0.18641452789273913
2017-09-17,19.8,22.447289703905287,21.057142857142857,0.06593507625225989,0.4618074380141456,0.19639021249768468
2017-09-18,18.3,22.294278330436523,20.921428571428574,0.010074699892390135,0.42803100950082296,0.17751422742528294
