day_of_outbreak,true,reported,cases_mean,cases_lower,cases_upper,rep_no_true,rep_no_mean,rep_no_lower,rep_no_upper,rep_no_naive_mean,additional_case_prob_true,additional_case_prob_est_r,additional_case_prob_est_r_lower,additional_case_prob_est_r_upper,additional_case_prob_known_r,additional_case_prob_known_r_lower,additional_case_prob_known_r_upper,additional_case_prob_naive
114,1,0,0.1865,0.0,1.0,0.3,0.29330120761847583,0.11008868730979277,0.6018357669408835,0.3441817046414459,0.9977786816452426,0.9187902969086724,0.6712612675235936,0.9991446698997531,0.9655888072964628,0.9068840348897568,0.9945218421571765,0.7849327783265453
115,1,0,0.177375,0.0,1.0,0.3,0.28710271118578834,0.10542000409757632,0.5946547351554893,0.338235503268908,0.997014959878044,0.8977967599241938,0.6179102936705546,0.998530788443641,0.9520635909790606,0.8757829144547764,0.991995951537396,0.751474202533868
116,0,0,0.150375,0.0,1.0,0.3,0.28293295913817273,0.10288699571407865,0.5888005029636271,0.3353797322584748,0.9960540074097515,0.8738964159715225,0.563153621728712,0.9976562467711775,0.9340397215756807,0.8379233063646229,0.9879820067183841,0.7147151889646928
117,0,0,0.141125,0.0,1.0,0.3,0.28135798181683563,0.10137457548738897,0.5959521451618134,0.33443637026823614,0.9930576642214612,0.8456996506320404,0.5077160042947583,0.9961186197013963,0.9115511481832659,0.7940313897243556,0.9820760172206218,0.6731945532160165
118,0,0,0.154125,0.0,1.0,0.3,0.2797918910626871,0.09864321623447125,0.6052776196510913,0.3346123608781617,0.9879814697367585,0.8136873976585142,0.4565581302020699,0.9939343705136046,0.8837142682986712,0.7422343043462541,0.9741292155345561,0.6262267444173182
119,1,0,0.129,0.0,1.0,0.3,0.28052794303108325,0.09346232863202095,0.611972268634638,0.33774070729169253,0.9796137931610231,0.7774941367255137,0.3978661583775106,0.9911193764773651,0.848371716023461,0.6787886620386097,0.9634260064483695,0.573556979494287
120,1,0,0.119875,0.0,1.0,0.3,0.2821630258751423,0.09297150769251769,0.6212997921692421,0.3397181039234023,0.9750140724535243,0.7375245900976857,0.3443562240522578,0.9867162084539657,0.8088310259289835,0.6073704788050927,0.95095865350922,0.5156700149612345
121,0,0,0.104375,0.0,1.0,0.3,0.28399551793174765,0.09179399572090925,0.6365994958984533,0.34601864955750555,0.9702502163152459,0.6940865937266665,0.2943656780600093,0.9812890568249919,0.7636152995847232,0.5268959153454783,0.9357257086610473,0.45444844927747907
122,0,0,0.089625,0.0,1.0,0.3,0.28766652057248837,0.0928794252034758,0.6426488500159956,0.3519287944546809,0.9537147502929455,0.6484755431799847,0.24298129907086485,0.9746393287665015,0.7156608784207933,0.44522485722010846,0.9171539406508066,0.3916160259053446
123,0,0,0.07325,0.0,1.0,0.3,0.2906292261134921,0.09048388976562338,0.6640491214692115,0.3578319048018789,0.9305038503404667,0.6022255596353395,0.19886651530791058,0.96541053588373,0.6637706977630781,0.36606214689855143,0.8984406214455213,0.3297733097116297
