day_of_outbreak,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper
102,0.2385562168505774,0.11606599602257285,0.4216875374676905,0.9809617339761404,0.22488969334609954,0.14708993384764577,0.30647374441663366,1.0910719626823433,0.49495341791653596,2.0990909187819216
103,0.22670797899768697,0.10539759906380713,0.41199719200679624,0.970170860762395,0.20585936106886119,0.12783727886646337,0.2867363802426736,1.1374204070197462,0.49967300567472084,2.193955207133585
104,0.2200391286962113,0.09949075891556934,0.39885138157706307,0.9516389138991803,0.18864249794058052,0.11213001928718049,0.26857394894232317,1.2110156588292726,0.5121123588050464,2.402318418986216
105,0.20912843874879175,0.09237015295487377,0.39050304001961594,0.9339330823028958,0.17274012830946403,0.09874268032719308,0.25184908628257946,1.2617719505838463,0.5289448742592556,2.523925304436404
106,0.20218893146990327,0.08727105251901465,0.38110714867993756,0.9040842100508498,0.15863276692229517,0.08667872691230603,0.23797184117079045,1.3355985835177524,0.5509780366409314,2.776063429068376
107,0.19234280313258673,0.07852497271537195,0.37662364198121934,0.8815907881331018,0.14571846592407833,0.07415930674003539,0.22355612197317293,1.3865685408314121,0.5613285252275967,2.877408798924112
108,0.18701311877436885,0.07245523635971596,0.3805595995885963,0.8428588347072018,0.1347425243720226,0.0653517052128181,0.21260280491204495,1.4628702082532632,0.5616748323041736,3.1369199907061285
109,0.1851962406117097,0.06896956037059558,0.3846465676122783,0.7980988206304833,0.12557024066901318,0.06014826730235134,0.20275064086825936,1.5582012452232243,0.5779853058794938,3.4033023588172084
110,0.1857072188012027,0.06641857897520825,0.3913941362343303,0.7469143235811553,0.11810776724509817,0.05238050580595009,0.19400494332442134,1.6679531448772573,0.6054473854543996,3.639181380755568
111,0.18189781768539295,0.05952247900672103,0.39670659257692076,0.7252056661446399,0.1107263097815986,0.046099117948445525,0.18652051179591195,1.7464309968525737,0.6244478617351583,3.897762025354369
112,0.17344466008244003,0.05360154851606059,0.3801956456000165,0.7082996357518992,0.10391768204022468,0.03929618951510488,0.1787995051500386,1.7855407493840585,0.6262240581250499,3.995470116397604
113,0.16794722103807075,0.04861103620752266,0.3880060123192314,0.6583794606622737,0.09776613507512838,0.033682400385481204,0.1722830013048382,1.8403170717025674,0.6223402133776851,4.184758881545984
114,0.16471285232039562,0.045715703652048925,0.3948373753799532,0.6081327950066496,0.09281471385384586,0.03079632595205888,0.16606450839120765,1.8995173608278035,0.6297772119569328,4.430217287961357
115,0.1646356569083899,0.04226219533378338,0.40428260609182803,0.5581457035683047,0.08939461983788988,0.02749591541747367,0.1612406156378701,1.973980263387093,0.6221637139439925,4.6222548726593145
116,0.1571313627588123,0.03738435508419865,0.392313076930009,0.5701343918592316,0.0848727185286233,0.022971626554037082,0.1565772630502004,1.989888926086757,0.62741617735389,4.827013270002771
117,0.151680957320409,0.02814949367050089,0.3864974560041895,0.5296797086139235,0.08141175066051144,0.01648468352522897,0.1538983176095985,2.0166694731284163,0.60713250849378,4.893861762628984
118,0.1503986580745698,0.025170375499857477,0.4086827266024589,0.49143022526099267,0.07874941624331769,0.015039655382066,0.1497442443942973,2.0625570861751035,0.6070752402459467,4.976680117516411
119,0.14920072413531696,0.023970892661446877,0.408803326347123,0.45422606423990436,0.07672699836184839,0.013643463185019985,0.146338991539635,2.1005690755232163,0.6023885971135918,5.116105651611747
120,0.1501705088703319,0.021817335477516422,0.4140385618373035,0.41770575310200875,0.07527031476287899,0.012074872600777322,0.14385836514886705,2.1482289993481376,0.5947566394499214,5.370226716597031
